ID,name,gold,stealing_power,server_id
316185381659738112,CaseyYong#6717,100,0,857270718035001384
416930939545976832,Accelerator#7729,100,0,857270718035001384
510059930074742785,Dusty-z#3803,100,0,857270718035001384
620900937845702657,SilverMajor#2490,100,0,857270718035001384
740542363608285315,Yi Jie (Elijah)#7603,100,0,857270718035001384
752556908610584596,LiawLiaw#6039,100,0,857270718035001384
879107973648121867,GGPotato#6883,100,0,857270718035001384
888741654482272276,Valorina#6711,100,0,857270718035001384
931103585595432971,GGsmolPotato#9690,100,0,857270718035001384
966726611665838141,GGXtraSmolPotato#5477,100,0,857270718035001384